ensemble,model,member,grid,ssp,method
LOCA2,INM-CM5-0,r5i1p1f1,0,historical,LOCA2
LOCA2,INM-CM5-0,r5i1p1f1,0,ssp370,LOCA2
LOCA2,INM-CM5-0,r1i1p1f1,0,ssp245,LOCA2
LOCA2,INM-CM5-0,r1i1p1f1,0,historical,LOCA2
LOCA2,INM-CM5-0,r1i1p1f1,0,ssp585,LOCA2
LOCA2,INM-CM5-0,r1i1p1f1,0,ssp370,LOCA2
LOCA2,INM-CM5-0,r4i1p1f1,0,historical,LOCA2
LOCA2,INM-CM5-0,r4i1p1f1,0,ssp370,LOCA2
LOCA2,INM-CM5-0,r3i1p1f1,0,historical,LOCA2
LOCA2,INM-CM5-0,r3i1p1f1,0,ssp370,LOCA2
LOCA2,KACE-1-0-G,r2i1p1f1,0,ssp245,LOCA2
LOCA2,KACE-1-0-G,r2i1p1f1,0,historical,LOCA2
LOCA2,KACE-1-0-G,r2i1p1f1,0,ssp585,LOCA2
LOCA2,KACE-1-0-G,r2i1p1f1,0,ssp370,LOCA2
LOCA2,KACE-1-0-G,r1i1p1f1,0,ssp245,LOCA2
LOCA2,KACE-1-0-G,r1i1p1f1,0,historical,LOCA2
LOCA2,KACE-1-0-G,r1i1p1f1,0,ssp585,LOCA2
LOCA2,KACE-1-0-G,r1i1p1f1,0,ssp370,LOCA2
LOCA2,KACE-1-0-G,r3i1p1f1,0,ssp245,LOCA2
LOCA2,KACE-1-0-G,r3i1p1f1,0,historical,LOCA2
LOCA2,KACE-1-0-G,r3i1p1f1,0,ssp585,LOCA2
LOCA2,KACE-1-0-G,r3i1p1f1,0,ssp370,LOCA2
LOCA2,MPI-ESM1-2-LR,r2i1p1f1,0,ssp245,LOCA2
LOCA2,MPI-ESM1-2-LR,r2i1p1f1,0,historical,LOCA2
LOCA2,MPI-ESM1-2-LR,r2i1p1f1,0,ssp585,LOCA2
LOCA2,MPI-ESM1-2-LR,r2i1p1f1,0,ssp370,LOCA2
LOCA2,MPI-ESM1-2-LR,r5i1p1f1,0,ssp245,LOCA2
LOCA2,MPI-ESM1-2-LR,r5i1p1f1,0,historical,LOCA2
LOCA2,MPI-ESM1-2-LR,r5i1p1f1,0,ssp370,LOCA2
LOCA2,MPI-ESM1-2-LR,r1i1p1f1,0,ssp245,LOCA2
LOCA2,MPI-ESM1-2-LR,r1i1p1f1,0,historical,LOCA2
LOCA2,MPI-ESM1-2-LR,r1i1p1f1,0,ssp585,LOCA2
LOCA2,MPI-ESM1-2-LR,r1i1p1f1,0,ssp370,LOCA2
LOCA2,MPI-ESM1-2-LR,r4i1p1f1,0,ssp245,LOCA2
LOCA2,MPI-ESM1-2-LR,r4i1p1f1,0,historical,LOCA2
LOCA2,MPI-ESM1-2-LR,r4i1p1f1,0,ssp370,LOCA2
LOCA2,MPI-ESM1-2-LR,r3i1p1f1,0,ssp245,LOCA2
LOCA2,MPI-ESM1-2-LR,r3i1p1f1,0,historical,LOCA2
LOCA2,MPI-ESM1-2-LR,r3i1p1f1,0,ssp585,LOCA2
LOCA2,MPI-ESM1-2-LR,r3i1p1f1,0,ssp370,LOCA2
LOCA2,MPI-ESM1-2-LR,r8i1p1f1,0,ssp245,LOCA2
